"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.41683968813617e-06,0.738259912024753,0.462,0.26,0.0779572204956035,"8","RNF2"
4.46846279472249e-06,0.277883066343843,0.538,0.309,0.078868368326852,"8","ARHGAP32"
4.76026220124326e-06,0.936847682133875,0.415,0.234,0.0840186278519435,"8","CRYL1"
4.76946614926803e-06,0.444319556511594,0.962,0.77,0.0841810775345807,"8","CLASP2"
4.78296622496718e-06,0.512855275471839,0.708,0.498,0.0844193538706707,"8","FAM168A"
4.80409525690631e-06,1.09153268846239,0.269,0.125,0.0847922812843964,"8","TMEM104"
5.19827672244105e-06,0.605064426325877,0.415,0.228,0.0917495841510846,"8","GSTCD"
5.29203195811503e-06,0.920271684214753,0.277,0.128,0.0934043640607303,"8","USF1"
5.30716222793798e-06,1.1884658948898,0.338,0.185,0.0936714133231054,"8","NBPF1"
5.32360542316268e-06,0.867955287706454,0.392,0.212,0.0939616357188212,"8","ZNF333"
5.38645210366005e-06,0.55709288326689,0.877,0.721,0.0950708796295998,"8","LCP1"
5.56600559992599e-06,1.12895308181439,0.277,0.135,0.0982399988386937,"8","NACC2"
5.97183968633989e-06,0.536402971616062,0.931,0.845,0.105402970463899,"8","CAPZB"
6.16548364523286e-06,0.709226831371328,0.554,0.351,0.10882078633836,"8","AMD1"
6.38454829767421e-06,1.09821813817063,0.377,0.218,0.11268727745395,"8","RGS1"
6.83624770638598e-06,0.717153493287751,0.746,0.595,0.120659772017712,"8","KPNA4"
7.49771523709624e-06,0.753084051057251,0.669,0.518,0.132334673934749,"8","MAP3K3"
7.51244228364454e-06,0.527548122171486,0.723,0.528,0.132594606306326,"8","B4GALT1"
7.66143395040427e-06,0.528019253771524,0.846,0.686,0.135224309224635,"8","HIPK3"
7.85542494451446e-06,0.553320227805979,0.785,0.578,0.13864825027068,"8","UBAP1"
7.93360404064771e-06,0.866029976130201,0.408,0.222,0.140028111317432,"8","ATP6V0B"
8.02484145542046e-06,0.948580584800185,0.469,0.288,0.141638451688171,"8","YBX3"
8.03315567818586e-06,0.906655666078552,0.385,0.218,0.14178519771998,"8","PIP4P2"
8.03816165774688e-06,0.537407022617254,0.631,0.404,0.141873553259232,"8","PLEKHM1"
8.0485622111758e-06,0.415572366994846,0.946,0.855,0.142057123027253,"8","GSK3B"
8.06389432211466e-06,0.639543918670267,0.5,0.332,0.142327734785324,"8","ELL2"
8.07190059997313e-06,0.542659358354399,0.754,0.57,0.142469045589526,"8","NLK"
8.15070285849393e-06,0.479539776093854,0.723,0.522,0.143859905452418,"8","RAPGEF2"
8.24789140548514e-06,1.39119227264802,0.323,0.17,0.145575283306813,"8","STX4"
8.29079963646144e-06,0.63923987142644,0.654,0.444,0.146332613583544,"8","TNFRSF14"
8.34549251744368e-06,0.48814760917609,0.9,0.733,0.147297942932881,"8","RSRC1"
8.45810222730721e-06,0.504743626724777,0.808,0.652,0.149285504311972,"8","SHOC2"
8.4657363743349e-06,0.463490425572454,0.854,0.662,0.149420247007011,"8","FAM120A"
8.47548458924175e-06,1.26641259044409,0.431,0.253,0.149592303000117,"8","STARD13"
8.55836177552611e-06,0.58888629276503,0.669,0.481,0.151055085338036,"8","WDR44"
8.60472556727914e-06,0.459015833105175,0.692,0.47,0.151873406262477,"8","M6PR"
8.83697676883333e-06,0.95040318839132,0.392,0.23,0.155972639969908,"8","ARRDC1"
8.92086276860368e-06,0.483199558841162,0.815,0.587,0.157453227865855,"8","POLK"
